num_downloads,day,pack_name,avg10,avg20,avg30
1976,2018-06-01,beautifulsoup,2460.1,2769.25,2963.233333333333
2048,2018-05-31,beautifulsoup,2527.1,2879.35,2954.0
1658,2018-05-30,beautifulsoup,2678.6,2919.3,2957.4666666666667
2436,2018-05-29,beautifulsoup,2966.3,2970.9,2991.366666666667
2786,2018-05-28,beautifulsoup,3161.5,3036.85,3068.0666666666666
3159,2018-05-27,beautifulsoup,3158.3,2989.4,3120.733333333333
3439,2018-05-26,beautifulsoup,2995.7,2959.25,3096.1666666666665
2506,2018-05-25,beautifulsoup,2821.6,3012.5,3049.233333333333
2756,2018-05-24,beautifulsoup,2768.2,3190.65,3023.4
1837,2018-05-23,beautifulsoup,2778.3,3196.2,2997.633333333333
2646,2018-05-22,beautifulsoup,3078.4,3214.8,3029.0666666666666
3563,2018-05-21,beautifulsoup,3231.6,3167.45,3081.866666666667
4535,2018-05-20,beautifulsoup,3160.0,3096.9,3099.5
4388,2018-05-19,beautifulsoup,2975.5,3003.9,3024.9
2754,2018-05-18,beautifulsoup,2912.2,3021.35,2962.9666666666667
1533,2018-05-17,beautifulsoup,2820.5,3101.95,2942.233333333333
1698,2018-05-16,beautifulsoup,2922.8,3146.4,2918.633333333333
1972,2018-05-15,beautifulsoup,3203.4,3163.05,2948.5
2857,2018-05-14,beautifulsoup,3613.1,3151.0,3004.4666666666667
4838,2018-05-13,beautifulsoup,3614.1,3107.3,3050.733333333333
4178,2018-05-12,beautifulsoup,3351.2,3004.4,3051.3333333333335
2847,2018-05-11,beautifulsoup,3103.3,3007.0,3031.1666666666665
2690,2018-05-10,beautifulsoup,3033.8,3069.25,3041.866666666667
3755,2018-05-09,beautifulsoup,3032.3,3049.6,3075.4666666666667
1837,2018-05-08,beautifulsoup,3130.5,2988.35,3072.6666666666665
2556,2018-05-07,beautifulsoup,3383.4,3003.1,3161.0333333333333
4504,2018-05-06,beautifulsoup,3370.0,2916.55,3223.3333333333335
6069,2018-05-05,beautifulsoup,3122.7,2821.05,3266.3
2867,2018-05-04,beautifulsoup,2688.9,2700.15,3214.9333333333334
2209,2018-05-03,beautifulsoup,2600.5,2769.05,3210.8333333333335
1699,2018-05-02,beautifulsoup,2657.6,2901.4,3235.4666666666667
2152,2018-05-01,beautifulsoup,2910.7,2995.1,3308.6666666666665
2675,2018-04-30,beautifulsoup,3104.7,3045.9,3400.6666666666665
4737,2018-04-29,beautifulsoup,3066.9,3097.05,3471.9666666666667
4366,2018-04-28,beautifulsoup,2846.2,3043.75,3427.0333333333333
2422,2018-04-27,beautifulsoup,2622.8,3049.85,3387.366666666667
2031,2018-04-26,beautifulsoup,2463.1,3150.0,3363.0333333333333
1731,2018-04-25,beautifulsoup,2519.4,3338.1,3359.9666666666667
1983,2018-04-24,beautifulsoup,2711.4,3477.95,3376.3
2780,2018-04-23,beautifulsoup,2937.6,3516.0,3482.0333333333333
4230,2018-04-22,beautifulsoup,3145.2,3524.4,3607.766666666667
4092,2018-04-21,beautifulsoup,3079.5,3507.65,3545.5333333333333
2297,2018-04-20,beautifulsoup,2987.1,3548.65,3486.4666666666667
2530,2018-04-19,beautifulsoup,3127.2,3674.5,3485.5333333333333
2132,2018-04-18,beautifulsoup,3241.3,3717.45,3475.766666666667
825,2018-04-17,beautifulsoup,3476.9,3769.65,3503.7
2594,2018-04-16,beautifulsoup,3836.9,3813.0,3613.6666666666665
3651,2018-04-15,beautifulsoup,4156.8,3780.25,3667.5666666666666
4245,2018-04-14,beautifulsoup,4244.5,3708.75,3642.733333333333
4856,2018-04-13,beautifulsoup,4094.4,3754.25,3622.5
3573,2018-04-12,beautifulsoup,3903.6,3839.05,3532.9333333333334
3168,2018-04-11,beautifulsoup,3935.8,3778.55,3484.0666666666666
3698,2018-04-10,beautifulsoup,4110.2,3736.15,3461.7
3671,2018-04-09,beautifulsoup,4221.8,3664.7,3464.766666666667
4488,2018-04-08,beautifulsoup,4193.6,3593.0,3451.1
4425,2018-04-07,beautifulsoup,4062.4,3517.1,3386.233333333333
5793,2018-04-06,beautifulsoup,3789.1,3502.05,3392.5333333333333
4528,2018-04-05,beautifulsoup,3403.7,3422.95,3276.1
2744,2018-04-04,beautifulsoup,3173.0,3341.85,3225.233333333333
2948,2018-04-03,beautifulsoup,3414.1,3386.55,3212.9
3895,2018-04-02,beautifulsoup,3774.5,3347.6,3233.9
4912,2018-04-01,beautifulsoup,3621.3,3258.2,3219.9666666666667
4814,2018-03-31,beautifulsoup,3362.1,3137.45,3141.0333333333333
3389,2018-03-30,beautifulsoup,3107.6,3086.25,3057.0333333333333
3176,2018-03-29,beautifulsoup,2992.4,3079.85,3044.3333333333335
1692,2018-03-28,beautifulsoup,2971.8,3048.15,3050.4
1939,2018-03-27,beautifulsoup,3215.0,3194.25,3126.6
2221,2018-03-26,beautifulsoup,3442.2,3212.3,3172.1666666666665
5155,2018-03-25,beautifulsoup,3510.7,3251.35,3203.766666666667
6552,2018-03-24,beautifulsoup,3359.0,3112.3,3150.5666666666666
2363,2018-03-23,beautifulsoup,2920.7,2963.6,3029.5333333333333
2320,2018-03-22,beautifulsoup,2895.1,3019.3,3025.9
2269,2018-03-21,beautifulsoup,2912.8,3030.5,3049.3333333333335
2237,2018-03-20,beautifulsoup,3064.9,3031.75,3057.5333333333333
2970,2018-03-19,beautifulsoup,3167.3,3070.3,3072.5
4124,2018-03-18,beautifulsoup,3124.5,3089.7,3055.266666666667
4211,2018-03-17,beautifulsoup,3173.5,3082.4,3003.1666666666665
2906,2018-03-16,beautifulsoup,2982.4,3037.15,2943.6
3638,2018-03-15,beautifulsoup,2992.0,3050.3,2933.6
2169,2018-03-14,beautifulsoup,2865.6,3046.35,2911.9333333333334
2107,2018-03-13,beautifulsoup,3006.5,3083.95,2966.0
